Probe Set ID	Gene Symbol	Gene Title	Entrez Gene
TC07002759.hg.1	NA	NA	NA
TC07002760.hg.1	NA	NA	NA
TC07002761.hg.1	NA	NA	NA
TC07002762.hg.1	NA	NA	NA
TC07002763.hg.1	NA	NA	NA
TC07002764.hg.1	NA	NA	NA
TC07002765.hg.1	NA	NA	NA
TC07002766.hg.1	NA	NA	NA
TC07002767.hg.1	NA	NA	NA
TC07002768.hg.1	NA	NA	NA
TC07002769.hg.1	NA	NA	NA
TC07002770.hg.1	NA	NA	NA
TC07002771.hg.1	NA	NA	NA
TC07002772.hg.1	NA	NA	NA
TC07002773.hg.1	NA	NA	NA
TC07002774.hg.1	NA	NA	NA
TC07002775.hg.1	NA	NA	NA
TC07002776.hg.1	NA	NA	NA
TC07002777.hg.1	NA	NA	NA
TC07002778.hg.1	NA	NA	NA
TC07002779.hg.1	NA	NA	NA
TC07002780.hg.1	NA	NA	NA
TC07002781.hg.1	NA	NA	NA
TC07002782.hg.1	NA	NA	NA
TC07002783.hg.1	NA	NA	NA
TC07002784.hg.1	NA	NA	NA
TC07002785.hg.1	NA	NA	NA
TC07002786.hg.1	NA	NA	NA
TC07002787.hg.1	NA	NA	NA
TC07002788.hg.1	NA	NA	NA
TC07002789.hg.1	NA	NA	NA
TC07002790.hg.1	NA	NA	NA
TC07002791.hg.1	NA	NA	NA
TC07002792.hg.1	NA	NA	NA
TC07002793.hg.1	NA	NA	NA
TC07002794.hg.1	NA	NA	NA
TC07002795.hg.1	NA	NA	NA
TC07002796.hg.1	NA	NA	NA
TC07002797.hg.1	NA	NA	NA
TC07002798.hg.1	NA	NA	NA
TC07002799.hg.1	NA	NA	NA
TC07002800.hg.1	NA	NA	NA
TC07002801.hg.1	NA	NA	NA
TC07002802.hg.1	NA	NA	NA
TC07002803.hg.1	NA	NA	NA
TC07002804.hg.1	NA	NA	NA
TC07002805.hg.1	NA	NA	NA
TC07002806.hg.1	NA	NA	NA
TC07002807.hg.1	NA	NA	NA
TC07002808.hg.1	NA	NA	NA
TC07002809.hg.1	NA	NA	NA
TC07002810.hg.1	NA	NA	NA
TC07002811.hg.1	NA	NA	NA
TC07002812.hg.1	NA	NA	NA
TC07002813.hg.1	NA	NA	NA
TC07002814.hg.1	NA	NA	NA
TC07002815.hg.1	NA	NA	NA
TC07002816.hg.1	NA	NA	NA
TC07002817.hg.1	NA	NA	NA
TC07002818.hg.1	NA	NA	NA
TC07002819.hg.1	NA	NA	NA
TC07002820.hg.1	NA	NA	NA
TC07002821.hg.1	NA	NA	NA
TC07002822.hg.1	NA	NA	NA
TC07002823.hg.1	NA	NA	NA
TC07002824.hg.1	NA	NA	NA
TC07002825.hg.1	NA	NA	NA
TC07002826.hg.1	NA	NA	NA
TC07002827.hg.1	NA	NA	NA
TC07002828.hg.1	NA	NA	NA
TC07002829.hg.1	NA	NA	NA
TC07002830.hg.1	NA	NA	NA
TC07002831.hg.1	NA	NA	NA
TC07002832.hg.1	NA	NA	NA
TC07002833.hg.1	NA	NA	NA
TC07002834.hg.1	NA	NA	NA
TC07002835.hg.1	NA	NA	NA
TC07002836.hg.1	NA	NA	NA
TC07002837.hg.1	NA	NA	NA
TC07002838.hg.1	NA	NA	NA
TC07002839.hg.1	NA	NA	NA
TC07002840.hg.1	NA	NA	NA
TC07002841.hg.1	NA	NA	NA
TC07002842.hg.1	NA	NA	NA
TC07002843.hg.1	NA	NA	NA
TC07002844.hg.1	NA	NA	NA
TC07002845.hg.1	NA	NA	NA
TC07002846.hg.1	NA	NA	NA
TC07002847.hg.1	NA	NA	NA
TC07002848.hg.1	NA	NA	NA
TC07002849.hg.1	NA	NA	NA
TC07002850.hg.1	NA	NA	NA
TC07002851.hg.1	NA	NA	NA
TC07002852.hg.1	NA	NA	NA
TC07002853.hg.1	NA	NA	NA
TC07002854.hg.1	NA	NA	NA
TC07002855.hg.1	NA	NA	NA
TC07002856.hg.1	NA	NA	NA
TC07002857.hg.1	NA	NA	NA
TC07002858.hg.1	NA	NA	NA
TC07002859.hg.1	NA	NA	NA
TC07002860.hg.1	NA	NA	NA
TC07002861.hg.1	NA	NA	NA
TC07002862.hg.1	NA	NA	NA
TC07002863.hg.1	NA	NA	NA
TC07002864.hg.1	NA	NA	NA
TC07002865.hg.1	NA	NA	NA
TC07002866.hg.1	NA	NA	NA
TC07002867.hg.1	NA	NA	NA
TC07002868.hg.1	NA	NA	NA
TC07002869.hg.1	NA	NA	NA
TC07002870.hg.1	NA	NA	NA
TC07002871.hg.1	NA	NA	NA
TC07002872.hg.1	NA	NA	NA
TC07002873.hg.1	NA	NA	NA
TC07002874.hg.1	NA	NA	NA
TC07002875.hg.1	NA	NA	NA
TC07002876.hg.1	NA	NA	NA
TC07002877.hg.1	NA	NA	NA
TC07002878.hg.1	NA	NA	NA
TC07002879.hg.1	NA	NA	NA
TC07002880.hg.1	NA	NA	NA
TC07002881.hg.1	NA	NA	NA
TC07002882.hg.1	NA	NA	NA
TC07002883.hg.1	NA	NA	NA
TC07002884.hg.1	NA	NA	NA
TC07002885.hg.1	NA	NA	NA
TC07002886.hg.1	NA	NA	NA
TC07002887.hg.1	NA	NA	NA
TC07002888.hg.1	NA	NA	NA
TC07002889.hg.1	NA	NA	NA
TC07002890.hg.1	NA	NA	NA
TC07002891.hg.1	NA	NA	NA
TC07002892.hg.1	NA	NA	NA
TC07002893.hg.1	NA	NA	NA
TC07002894.hg.1	NA	NA	NA
TC07002895.hg.1	NA	NA	NA
TC07002896.hg.1	NA	NA	NA
TC07002897.hg.1	NA	NA	NA
TC07002898.hg.1	NA	NA	NA
TC07002899.hg.1	NA	NA	NA
TC07002900.hg.1	NA	NA	NA
TC07002901.hg.1	NA	NA	NA
TC07002902.hg.1	NA	NA	NA
TC07002903.hg.1	NA	NA	NA
TC07002904.hg.1	NA	NA	NA
TC07002905.hg.1	NA	NA	NA
TC07002906.hg.1	NA	NA	NA
TC07002907.hg.1	NA	NA	NA
TC07002908.hg.1	NA	NA	NA
TC07002909.hg.1	NA	NA	NA
TC07002910.hg.1	NA	NA	NA
TC07002911.hg.1	NA	NA	NA
TC07002912.hg.1	NA	NA	NA
TC07002913.hg.1	NA	NA	NA
TC07002914.hg.1	NA	NA	NA
TC07002915.hg.1	NA	NA	NA
TC07002916.hg.1	NA	NA	NA
TC07002917.hg.1	NA	NA	NA
TC07002918.hg.1	NA	NA	NA
TC07002919.hg.1	NA	NA	NA
TC07002920.hg.1	NA	NA	NA
TC07002921.hg.1	NA	NA	NA
TC07002922.hg.1	NA	NA	NA
TC07002923.hg.1	NA	NA	NA
TC07002924.hg.1	NA	NA	NA
TC07002925.hg.1	NA	NA	NA
TC07002926.hg.1	NA	NA	NA
TC07002927.hg.1	NA	NA	NA
TC07002928.hg.1	NA	NA	NA
TC07002929.hg.1	NA	NA	NA
TC07002930.hg.1	NA	NA	NA
TC07002931.hg.1	NA	NA	NA
TC07002932.hg.1	NA	NA	NA
TC07002933.hg.1	NA	NA	NA
TC07002934.hg.1	NA	NA	NA
TC07002935.hg.1	NA	NA	NA
TC07002936.hg.1	NA	NA	NA
TC07002937.hg.1	NA	NA	NA
TC07002938.hg.1	NA	NA	NA
TC07002939.hg.1	NA	NA	NA
TC07002940.hg.1	NA	NA	NA
TC07002941.hg.1	NA	NA	NA
TC07002942.hg.1	NA	NA	NA
TC07002943.hg.1	NA	NA	NA
TC07002944.hg.1	NA	NA	NA
TC07002945.hg.1	NA	NA	NA
TC07002946.hg.1	NA	NA	NA
TC07002947.hg.1	NA	NA	NA
TC07002948.hg.1	NA	NA	NA
TC07002949.hg.1	NA	NA	NA
TC07002950.hg.1	NA	NA	NA
TC07002951.hg.1	NA	NA	NA
TC07002952.hg.1	NA	NA	NA
TC07002953.hg.1	NA	NA	NA
TC07002954.hg.1	NA	NA	NA
TC07002955.hg.1	NA	NA	NA
TC07002956.hg.1	NA	NA	NA
TC07002957.hg.1	NA	NA	NA
TC07002958.hg.1	NA	NA	NA
TC07002959.hg.1	NA	NA	NA
TC07002960.hg.1	NA	NA	NA
TC07002961.hg.1	NA	NA	NA
TC07002962.hg.1	NA	NA	NA
TC07002963.hg.1	NA	NA	NA
TC07002964.hg.1	NA	NA	NA
TC07002965.hg.1	NA	NA	NA
TC07002966.hg.1	NA	NA	NA
TC07002967.hg.1	NA	NA	NA
TC07002968.hg.1	NA	NA	NA
TC07002969.hg.1	NA	NA	NA
TC07002970.hg.1	NA	NA	NA
TC07002971.hg.1	NA	NA	NA
TC07002972.hg.1	NA	NA	NA
TC07002973.hg.1	NA	NA	NA
TC07002974.hg.1	NA	NA	NA
TC07002975.hg.1	NA	NA	NA
TC07002976.hg.1	NA	NA	NA
TC07002977.hg.1	NA	NA	NA
TC07002978.hg.1	NA	NA	NA
TC07002979.hg.1	NA	NA	NA
TC07002980.hg.1	NA	NA	NA
TC07002981.hg.1	NA	NA	NA
TC07002982.hg.1	NA	NA	NA
TC07002983.hg.1	NA	NA	NA
TC07002984.hg.1	NA	NA	NA
TC07002985.hg.1	NA	NA	NA
TC07002986.hg.1	NA	NA	NA
TC07002987.hg.1	NA	NA	NA
TC07002988.hg.1	NA	NA	NA
TC07002989.hg.1	NA	NA	NA
TC07002990.hg.1	NA	NA	NA
TC07002991.hg.1	NA	NA	NA
TC07002992.hg.1	NA	NA	NA
TC07002993.hg.1	NA	NA	NA
TC07002994.hg.1	NA	NA	NA
TC07002995.hg.1	NA	NA	NA
TC07002996.hg.1	NA	NA	NA
TC07002997.hg.1	NA	NA	NA
TC07002998.hg.1	NA	NA	NA
TC07002999.hg.1	NA	NA	NA
TC07003000.hg.1	NA	NA	NA
TC07003001.hg.1	NA	NA	NA
TC07003002.hg.1	NA	NA	NA
TC07003003.hg.1	NA	NA	NA
TC07003004.hg.1	NA	NA	NA
TC07003005.hg.1	NA	NA	NA
TC07003006.hg.1	NA	NA	NA
TC07003007.hg.1	NA	NA	NA
TC07003008.hg.1	NA	NA	NA
TC07003009.hg.1	NA	NA	NA
TC07003010.hg.1	NA	NA	NA
TC07003011.hg.1	NA	NA	NA
TC07003012.hg.1	NA	NA	NA
TC07003013.hg.1	NA	NA	NA
TC07003014.hg.1	NA	NA	NA
TC07003015.hg.1	NA	NA	NA
TC07003016.hg.1	NA	NA	NA
TC07003017.hg.1	NA	NA	NA
TC07003018.hg.1	NA	NA	NA
TC07003019.hg.1	NA	NA	NA
TC07003020.hg.1	NA	NA	NA
TC07003021.hg.1	NA	NA	NA
TC07003022.hg.1	NA	NA	NA
TC07003023.hg.1	NA	NA	NA
TC07003024.hg.1	NA	NA	NA
TC07003025.hg.1	NA	NA	NA
TC07003026.hg.1	NA	NA	NA
TC07003027.hg.1	NA	NA	NA
TC07003028.hg.1	NA	NA	NA
TC07003029.hg.1	NA	NA	NA
TC07003030.hg.1	NA	NA	NA
TC07003031.hg.1	NA	NA	NA
TC07003032.hg.1	NA	NA	NA
TC07003033.hg.1	NA	NA	NA
TC07003034.hg.1	NA	NA	NA
TC07003035.hg.1	NA	NA	NA
TC07003036.hg.1	NA	NA	NA
TC07003037.hg.1	NA	NA	NA
TC07003038.hg.1	NA	NA	NA
TC07003039.hg.1	NA	NA	NA
TC07003040.hg.1	NA	NA	NA
TC07003041.hg.1	NA	NA	NA
TC07003042.hg.1	NA	NA	NA
TC07003043.hg.1	NA	NA	NA
TC07003044.hg.1	NA	NA	NA
TC07003045.hg.1	NA	NA	NA
TC07003046.hg.1	NA	NA	NA
TC07003047.hg.1	NA	NA	NA
TC07003048.hg.1	NA	NA	NA
TC07003049.hg.1	NA	NA	NA
TC07003050.hg.1	NA	NA	NA
TC07003051.hg.1	NA	NA	NA
TC07003052.hg.1	NA	NA	NA
TC07003053.hg.1	NA	NA	NA
TC07003054.hg.1	NA	NA	NA
TC07003055.hg.1	NA	NA	NA
TC07003056.hg.1	NA	NA	NA
TC07003057.hg.1	NA	NA	NA
TC07003058.hg.1	NA	NA	NA
TC07003059.hg.1	NA	NA	NA
TC07003060.hg.1	NA	NA	NA
TC07003061.hg.1	NA	NA	NA
TC07003062.hg.1	NA	NA	NA
TC07003063.hg.1	NA	NA	NA
TC07003064.hg.1	NA	NA	NA
TC07003065.hg.1	NA	NA	NA
TC07003066.hg.1	NA	NA	NA
TC07003067.hg.1	NA	NA	NA
TC07003068.hg.1	NA	NA	NA
TC07003069.hg.1	NA	NA	NA
TC07003070.hg.1	NA	NA	NA
TC07003071.hg.1	NA	NA	NA
TC07003072.hg.1	NA	NA	NA
TC07003073.hg.1	NA	NA	NA
TC07003074.hg.1	NA	NA	NA
TC07003075.hg.1	NA	NA	NA
TC07003076.hg.1	NA	NA	NA
TC07003077.hg.1	NA	NA	NA
TC07003078.hg.1	NA	NA	NA
TC07003079.hg.1	NA	NA	NA
TC07003080.hg.1	NA	NA	NA
TC07003081.hg.1	NA	NA	NA
TC07003082.hg.1	NA	NA	NA
TC07003083.hg.1	NA	NA	NA
TC07003084.hg.1	NA	NA	NA
TC07003085.hg.1	NA	NA	NA
TC07003086.hg.1	NA	NA	NA
TC07003087.hg.1	NA	NA	NA
TC07003088.hg.1	NA	NA	NA
TC07003089.hg.1	NA	NA	NA
TC07003090.hg.1	NA	NA	NA
TC07003091.hg.1	NA	NA	NA
TC07003092.hg.1	NA	NA	NA
TC07003093.hg.1	NA	NA	NA
TC07003094.hg.1	NA	NA	NA
TC07003095.hg.1	NA	NA	NA
TC07003096.hg.1	NA	NA	NA
TC07003097.hg.1	NA	NA	NA
TC07003098.hg.1	NA	NA	NA
TC07003099.hg.1	NA	NA	NA
TC07003100.hg.1	NA	NA	NA
TC07003101.hg.1	NA	NA	NA
TC07003102.hg.1	NA	NA	NA
TC07003103.hg.1	NA	NA	NA
TC07003104.hg.1	NA	NA	NA
TC07003105.hg.1	NA	NA	NA
TC07003106.hg.1	NA	NA	NA
TC07003107.hg.1	NA	NA	NA
TC07003108.hg.1	NA	NA	NA
TC07003109.hg.1	NA	NA	NA
TC07003110.hg.1	NA	NA	NA
TC07003111.hg.1	NA	NA	NA
TC07003112.hg.1	NA	NA	NA
TC07003113.hg.1	NA	NA	NA
TC07003114.hg.1	NA	NA	NA
TC07003115.hg.1	NA	NA	NA
TC07003116.hg.1	NA	NA	NA
TC07003117.hg.1	NA	NA	NA
TC07003118.hg.1	NA	NA	NA
TC07003119.hg.1	NA	NA	NA
TC07003120.hg.1	NA	NA	NA
TC07003121.hg.1	NA	NA	NA
TC07003122.hg.1	NA	NA	NA
TC07003123.hg.1	NA	NA	NA
TC07003124.hg.1	NA	NA	NA
TC07003125.hg.1	NA	NA	NA
TC07003126.hg.1	NA	NA	NA
TC07003127.hg.1	NA	NA	NA
TC07003128.hg.1	NA	NA	NA
TC07003129.hg.1	NA	NA	NA
TC07003130.hg.1	NA	NA	NA
TC07003131.hg.1	NA	NA	NA
TC07003132.hg.1	NA	NA	NA
TC07003133.hg.1	NA	NA	NA
TC07003134.hg.1	NA	NA	NA
TC07003135.hg.1	NA	NA	NA
TC07003136.hg.1	NA	NA	NA
TC07003137.hg.1	NA	NA	NA
TC07003138.hg.1	NA	NA	NA
TC07003139.hg.1	NA	NA	NA
TC07003140.hg.1	NA	NA	NA
TC07003141.hg.1	NA	NA	NA
TC07003142.hg.1	NA	NA	NA
TC07003143.hg.1	NA	NA	NA
TC07003144.hg.1	NA	NA	NA
TC07003145.hg.1	NA	NA	NA
TC07003146.hg.1	NA	NA	NA
TC07003147.hg.1	NA	NA	NA
TC07003148.hg.1	NA	NA	NA
TC07003149.hg.1	NA	NA	NA
TC07003150.hg.1	NA	NA	NA
TC07003151.hg.1	NA	NA	NA
TC07003152.hg.1	NA	NA	NA
TC07003153.hg.1	NA	NA	NA
TC07003154.hg.1	NA	NA	NA
TC07003155.hg.1	NA	NA	NA
TC07003156.hg.1	NA	NA	NA
TC07003157.hg.1	NA	NA	NA
TC07003158.hg.1	NA	NA	NA
TC07003159.hg.1	NA	NA	NA
TC07003160.hg.1	NA	NA	NA
TC07003161.hg.1	NA	NA	NA
TC07003162.hg.1	NA	NA	NA
TC07003163.hg.1	NA	NA	NA
TC07003164.hg.1	NA	NA	NA
TC07003165.hg.1	NA	NA	NA
TC07003166.hg.1	NA	NA	NA
TC07003167.hg.1	NA	NA	NA
TC07003168.hg.1	NA	NA	NA
TC07003169.hg.1	NA	NA	NA
TC07003170.hg.1	NA	NA	NA
TC07003171.hg.1	NA	NA	NA
TC07003172.hg.1	NA	NA	NA
TC07003173.hg.1	NA	NA	NA
TC07003174.hg.1	NA	NA	NA
TC07003175.hg.1	NA	NA	NA
TC07003176.hg.1	NA	NA	NA
TC07003177.hg.1	NA	NA	NA
TC07003178.hg.1	NA	NA	NA
TC07003179.hg.1	NA	NA	NA
TC07003180.hg.1	NA	NA	NA
TC07003181.hg.1	NA	NA	NA
TC07003182.hg.1	NA	NA	NA
TC07003183.hg.1	NA	NA	NA
TC07003184.hg.1	NA	NA	NA
TC07003185.hg.1	NA	NA	NA
TC07003186.hg.1	NA	NA	NA
TC07003187.hg.1	NA	NA	NA
TC07003188.hg.1	NA	NA	NA
TC07003189.hg.1	NA	NA	NA
TC07003190.hg.1	NA	NA	NA
TC07003191.hg.1	NA	NA	NA
TC07003192.hg.1	NA	NA	NA
TC07003193.hg.1	NA	NA	NA
TC07003194.hg.1	NA	NA	NA
TC07003195.hg.1	NA	NA	NA
TC07003196.hg.1	NA	NA	NA
TC07003197.hg.1	NA	NA	NA
TC07003198.hg.1	NA	NA	NA
TC07003199.hg.1	NA	NA	NA
TC07003200.hg.1	NA	NA	NA
TC07003201.hg.1	NA	NA	NA
TC07003202.hg.1	NA	NA	NA
TC07003203.hg.1	NA	NA	NA
TC07003204.hg.1	NA	NA	NA
TC07003205.hg.1	NA	NA	NA
TC07003206.hg.1	NA	NA	NA
TC07003207.hg.1	NA	NA	NA
TC07003208.hg.1	NA	NA	NA
TC07003209.hg.1	NA	NA	NA
TC07003210.hg.1	NA	NA	NA
TC07003211.hg.1	NA	NA	NA
TC07003212.hg.1	NA	NA	NA
TC07003213.hg.1	NA	NA	NA
TC07003214.hg.1	NA	NA	NA
TC07003215.hg.1	NA	NA	NA
TC07003216.hg.1	NA	NA	NA
TC07003217.hg.1	NA	NA	NA
TC07003218.hg.1	NA	NA	NA
TC07003219.hg.1	NA	NA	NA
TC07003220.hg.1	NA	NA	NA
TC07003221.hg.1	NA	NA	NA
TC07003222.hg.1	NA	NA	NA
TC07003223.hg.1	NA	NA	NA
TC07003224.hg.1	NA	NA	NA
TC07003225.hg.1	NA	NA	NA
TC07003226.hg.1	NA	NA	NA
TC07003227.hg.1	NA	NA	NA
TC07003228.hg.1	NA	NA	NA
TC07003229.hg.1	NA	NA	NA
TC07003230.hg.1	NA	NA	NA
TC07003231.hg.1	NA	NA	NA
TC07003232.hg.1	NA	NA	NA
TC07003233.hg.1	NA	NA	NA
TC07003234.hg.1	NA	NA	NA
TC07003235.hg.1	NA	NA	NA
TC07003236.hg.1	NA	NA	NA
TC07003237.hg.1	NA	NA	NA
TC07003238.hg.1	NA	NA	NA
TC07003239.hg.1	NA	NA	NA
TC07003240.hg.1	NA	NA	NA
TC07003241.hg.1	NA	NA	NA
TC07003242.hg.1	NA	NA	NA
TC07003243.hg.1	NA	NA	NA
TC07003244.hg.1	NA	NA	NA
TC07003245.hg.1	NA	NA	NA
TC07003246.hg.1	NA	NA	NA
TC07003247.hg.1	NA	NA	NA
TC07003248.hg.1	NA	NA	NA
TC07003249.hg.1	NA	NA	NA
TC07003250.hg.1	NA	NA	NA
TC07003251.hg.1	NA	NA	NA
TC07003252.hg.1	NA	NA	NA
TC07003253.hg.1	NA	NA	NA
TC07003254.hg.1	NA	NA	NA
TC07003255.hg.1	NA	NA	NA
TC07003256.hg.1	NA	NA	NA
TC07003257.hg.1	NA	NA	NA
TC07003258.hg.1	NA	NA	NA
TC07003259.hg.1	NA	NA	NA
TC07003260.hg.1	NA	NA	NA
TC07003261.hg.1	NA	NA	NA
TC07003262.hg.1	NA	NA	NA
TC07003263.hg.1	NA	NA	NA
TC07003264.hg.1	NA	NA	NA
TC07003265.hg.1	NA	NA	NA
TC07003266.hg.1	NA	NA	NA
TC07003267.hg.1	NA	NA	NA
TC07003268.hg.1	NA	NA	NA
TC07003269.hg.1	NA	NA	NA
TC07003270.hg.1	NA	NA	NA
TC07003271.hg.1	NA	NA	NA
TC07003272.hg.1	NA	NA	NA
TC07003273.hg.1	NA	NA	NA
TC07003274.hg.1	NA	NA	NA
TC07003275.hg.1	NA	NA	NA
TC07003276.hg.1	NA	NA	NA
TC07003277.hg.1	NA	NA	NA
TC07003278.hg.1	NA	NA	NA
TC07003279.hg.1	NA	NA	NA
TC07003280.hg.1	NA	NA	NA
TC07003281.hg.1	NA	NA	NA
TC07003282.hg.1	NA	NA	NA
TC07003283.hg.1	NA	NA	NA
TC07003284.hg.1	NA	NA	NA
TC07003285.hg.1	NA	NA	NA
TC07003286.hg.1	NA	NA	NA
TC07003287.hg.1	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	10552
TC07003288.hg.1	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	10095
TC07003289.hg.1	ZNF655	zinc finger protein 655	79027
TC07003290.hg.1	LOC100289187	transmembrane protein 225-like	100289187
TC07003291.hg.1	IFRD1	interferon-related developmental regulator 1	3475
TC07003292.hg.1	C7orf53	chromosome 7 open reading frame 53	286006
TC07003293.hg.1	C7orf68	chromosome 7 open reading frame 68	29923
TC07003294.hg.1	METTL2B	methyltransferase like 2B	55798
TC07003295.hg.1	REPIN1	replication initiator 1	29803
TC07003296.hg.1	NA	NA	NA
TC07003297.hg.1	NA	NA	NA
TC07003298.hg.1	TRIM74	tripartite motif containing 74	378108
TC07003299.hg.1	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	1577
TC07003300.hg.1	NA	NA	NA
TC07003301.hg.1	PNPLA8	patatin-like phospholipase domain containing 8	50640
TC07003302.hg.1	THAP5	THAP domain containing 5	168451
TC07003303.hg.1	NA	NA	NA
TC07003304.hg.1	NA	NA	NA
TC07003305.hg.1	ARHGEF35	Rho guanine nucleotide exchange factor (GEF) 35	445328
TC07003306.hg.1	NA	NA	NA
TC07003307.hg.1	ASL	argininosuccinate lyase	435
TC07003308.hg.1	CRCP	CGRP receptor component	27297
TC07003309.hg.1	NA	NA	NA
TC07003310.hg.1	UPK3B	uroplakin 3B	80761
TC07003311.hg.1	NA	NA	NA
TC07003312.hg.1	CCDC146	coiled-coil domain containing 146	57639
TC07003313.hg.1	PILRB	paired immunoglobin-like type 2 receptor beta	29990
TC07003314.hg.1	PILRA	paired immunoglobin-like type 2 receptor alpha	29992
TC07003315.hg.1	SUN1	Sad1 and UNC84 domain containing 1	23353
TC07003316.hg.1	GET4	golgi to ER traffic protein 4 homolog (S. cerevisiae)	51608
TC07003317.hg.1	RNF216P1	ring finger protein 216 pseudogene 1	441191
TC07003318.hg.1	NA	NA	NA
TC07003319.hg.1	LOC729852	uncharacterized LOC729852	729852
TC07003320.hg.1	GLCCI1	glucocorticoid induced transcript 1	113263
TC07003321.hg.1	GPR141	G protein-coupled receptor 141	353345
TC07003322.hg.1	TXNDC3	thioredoxin domain containing 3 (spermatozoa)	51314
TC07003323.hg.1	EPDR1	ependymin related protein 1 (zebrafish)	54749
TC07003324.hg.1	ZNF713	zinc finger protein 713	349075
TC07003325.hg.1	MRPS17	mitochondrial ribosomal protein S17	51373
TC07003326.hg.1	GBAS	glioblastoma amplified sequence	2631
TC07003327.hg.1	NA	NA	NA
TC07003328.hg.1	NA	NA	NA
TC07003329.hg.1	LOC541473	FK506 binding protein 6, 36kDa pseudogene	541473
TC07003330.hg.1	FKBP6	FK506 binding protein 6, 36kDa	8468
TC07003331.hg.1	NA	NA	NA
TC07003332.hg.1	NA	NA	NA
TC07003333.hg.1	NSUN5P1	NOP2/Sun domain family, member 5 pseudogene 1	155400
TC07003334.hg.1	GTPBP10	GTP-binding protein 10 (putative)	85865
TC07003335.hg.1	CLDN12	claudin 12	9069
TC07003336.hg.1	CDK14	cyclin-dependent kinase 14	5218
TC07003337.hg.1	PVRIG	poliovirus receptor related immunoglobulin domain containing	79037
TC07003338.hg.1	STAG3	stromal antigen 3	10734
TC07003339.hg.1	CAV1	caveolin 1, caveolae protein, 22kDa	857
TC07003340.hg.1	CAV2	caveolin 2	858
TC07003341.hg.1	ARF5	ADP-ribosylation factor 5	381
TC07003342.hg.1	FSCN3	fascin homolog 3, actin-bundling protein, testicular (Strongylocentrotus purpuratus)	29999
TC07003343.hg.1	ADCK2	aarF domain containing kinase 2	90956
TC07003344.hg.1	NDUFB2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa	4708
TC07003345.hg.1	PRSS1	protease, serine, 1 (trypsin 1)	5644
TC07003346.hg.1	NA	NA	NA
TC07003347.hg.1	COX19	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)	90639
TC07003348.hg.1	ADAP1	ArfGAP with dual PH domains 1	11033
TC07003349.hg.1	DAGLB	diacylglycerol lipase, beta	221955
TC07003350.hg.1	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	11014
TC07003351.hg.1	HOXA3	homeobox A3	3200
TC07003352.hg.1	HOXA4	homeobox A4	3201
TC07003353.hg.1	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	5683
TC07003354.hg.1	C7orf25	chromosome 7 open reading frame 25	79020
TC07003355.hg.1	MRPS24	mitochondrial ribosomal protein S24	64951
TC07003356.hg.1	URGCP	upregulator of cell proliferation	55665
TC07003357.hg.1	PSPH	phosphoserine phosphatase	5723
TC07003358.hg.1	LOC389493	uncharacterized LOC389493	389493
TC07003359.hg.1	NA	NA	NA
TC07003360.hg.1	GATSL2	GATS protein-like 2	729438
TC07003361.hg.1	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	1595
TC07003362.hg.1	LRRD1	leucine-rich repeats and death domain containing 1	401387
TC07003363.hg.1	PON1	paraoxonase 1	5444
TC07003364.hg.1	PON3	paraoxonase 3	5446
TC07003365.hg.1	NA	NA	NA
TC07003366.hg.1	ATP5J2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2	9551
TC07003367.hg.1	TRIM4	tripartite motif containing 4	89122
TC07003368.hg.1	OR2AE1	olfactory receptor, family 2, subfamily AE, member 1	81392
TC07003369.hg.1	C7orf61	chromosome 7 open reading frame 61	402573
TC07003370.hg.1	TSC22D4	TSC22 domain family, member 4	81628
TC07003371.hg.1	SAP25	Sin3A-associated protein, 25kDa	100316904
TC07003372.hg.1	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4	4034
TC07003373.hg.1	NA	NA	NA
TC07003374.hg.1	NA	NA	NA
TC07003375.hg.1	NA	NA	NA
TC07003376.hg.1	NA	NA	NA
TC07003377.hg.1	NA	NA	NA
TC07003378.hg.1	NA	NA	NA
TC07003379.hg.1	COPG2	coatomer protein complex, subunit gamma 2	26958
TC07003380.hg.1	TSGA13	testis specific, 13	114960
TC07003381.hg.1	NA	NA	NA
TC07003382.hg.1	NA	NA	NA
TC07003383.hg.1	NA	NA	NA
TC07003384.hg.1	NA	NA	NA
TC07003385.hg.1	NA	NA	NA
TC07003386.hg.1	EVX1	even-skipped homeobox 1	2128
TC07003387.hg.1	NA	NA	NA
TC07003388.hg.1	CHN2	chimerin (chimaerin) 2	1124
TC07003389.hg.1	ZNRF2	zinc and ring finger 2	223082
TC07003390.hg.1	ZNRF2	zinc and ring finger 2	223082
TC07003391.hg.1	INMT	indolethylamine N-methyltransferase	11185
TC07003392.hg.1	NA	NA	NA
TC07003393.hg.1	DBNL	drebrin-like	28988
